id,2023-09-24,2023-09-28,2023-09-29
MLA613474725,4296.0,4296.0,4296.0
MLA791354003,7254.0,7254.0,7254.0
MLA899951694,4985.39,4985.39,4985.39
MLA824314966,4599.99,4599.99,4599.99
MLA1377001746,55952.82,55952.82,39167.0
MLA1381192383,2941.0,2941.0,2941.0
MLA792554009,27990.0,27990.0,27990.0
MLA904759917,17499.0,17499.0,15749.1
MLA1385701623,35099.1,35099.1,32759.16
MLA1183248104,6599.0,6599.0,6599.0
MLA778488797,5599.0,5599.0,5599.0
MLA1464612508,2941.53,2941.53,2941.53
MLA900670790,15490.0,15490.0,15490.0
MLA1142802844,118498.16,118498.16,118498.16
MLA1135431328,5395.0,5395.0,5395.0
MLA1128161816,6979.47,6979.47,6979.47
MLA657105988,6499.0,6499.0,6499.0
MLA754407578,12500.0,12500.0,12500.0
MLA812898385,8800.0,8800.0,8800.0
MLA766770892,6500.0,6500.0,6500.0
MLA885433077,22690.0,22690.0,22690.0
MLA754403483,17300.0,17300.0,17300.0
MLA1172479582,45099.09,45099.09,45099.09
MLA607037164,18789.0,18789.0,18789.0
MLA908602062,33598.8,33598.8,35698.72
MLA805054276,2661.83,2661.83,2661.83
MLA803409473,18326.7,18326.7,18326.7
MLA734658830,194795.0,194795.0,194795.0
MLA1440383272,69300.0,69300.0,69300.0
MLA1102116906,159999.0,159999.0,179999.0
MLA862676830,138999.9,138999.9,138999.9
MLA1247488532,23999.0,23999.0,23999.0
MLA720245281,66402.0,66402.0,66402.0
MLA737434405,132999.9,132999.9,132999.9
MLA846511675,109999.9,109999.9,109999.9
MLA1102149496,226499.0,226499.0,226499.0
MLA1466980250,6499.0,6499.0,6499.0
MLA909439529,11159.08,11159.08,10043.17
MLA751392275,88795.0,88795.0,88795.0
MLA908599811,17998.8,17998.8,22000.0
MLA1464190994,98999.9,98999.9,91079.9
MLA1123228647,7115.5,7115.5,7590.5
MLA1488816262,27999.0,27999.0,27999.0
MLA1149526917,61919.0,61919.0,61919.0
MLA1125966303,1568.0,1568.0,1568.0
MLA1334601222,11429.99,11429.99,11429.99
MLA934971614,43337.0,43337.0,43337.0
MLA934968150,32155.5,32155.5,32155.0
MLA1185204082,3250.0,3250.0,3250.0
MLA1383013252,31990.0,31990.0,31990.0
MLA1203688833,2502.85,2502.85,2502.85
MLA918361473,2028.03,2028.03,2028.03
MLA932669117,41074.42,41074.42,41074.42
MLA1469945058,11654.49,11654.49,11654.49
MLA1471206168,36954.0,36954.0,36954.0
MLA1275413907,31990.0,31990.0,31990.0
MLA1346132734,89977.28,89977.28,89977.28
MLA1120705571,12990.0,12990.0,12340.5
